"cow" "frear" "rear" "fpar" "par1" "par24" "par56" "ll" "ul" "censor"
"1" 1 "rear" 1 ">4" 0 0 1 296 NA 0
"2" 1 "front" 0 ">4" 0 0 1 261 296 1
"3" 1 "rear" 1 ">4" 0 0 1 47 78 1
"4" 1 "front" 0 ">4" 0 0 1 140 165 1
"5" 2 "rear" 1 "1" 1 0 0 331 NA 0
"6" 2 "front" 0 "1" 1 0 0 331 NA 0
"7" 2 "rear" 1 "1" 1 0 0 331 NA 0
"8" 2 "front" 0 "1" 1 0 0 331 NA 0
"9" 3 "rear" 1 "1" 1 0 0 NA 24 1
"10" 3 "front" 0 "1" 1 0 0 24 53 1
"11" 3 "rear" 1 "1" 1 0 0 80 115 1
"12" 3 "front" 0 "1" 1 0 0 24 53 1
"13" 4 "rear" 1 "1" 1 0 0 391 NA 0
"14" 4 "front" 0 "1" 1 0 0 391 NA 0
"15" 4 "rear" 1 "1" 1 0 0 273 306 1
"16" 4 "front" 0 "1" 1 0 0 27 66 1
"17" 5 "rear" 1 "1" 1 0 0 240 NA 0
"18" 5 "front" 0 "1" 1 0 0 240 NA 0
"19" 5 "rear" 1 "1" 1 0 0 240 NA 0
"20" 5 "front" 0 "1" 1 0 0 240 NA 0
"21" 6 "rear" 1 "1" 1 0 0 213 249 1
"22" 6 "front" 0 "1" 1 0 0 93 127 1
"23" 6 "rear" 1 "1" 1 0 0 93 127 1
"24" 6 "front" 0 "1" 1 0 0 183 213 1
"25" 7 "rear" 1 "2-4" 0 1 0 374 NA 0
"26" 7 "front" 0 "2-4" 0 1 0 342 374 1
"27" 7 "rear" 1 "2-4" 0 1 0 41 70 1
"28" 7 "front" 0 "2-4" 0 1 0 41 70 1
"29" 8 "rear" 1 "2-4" 0 1 0 NA 50 1
"30" 8 "front" 0 "2-4" 0 1 0 NA 50 1
"31" 8 "rear" 1 "2-4" 0 1 0 156 183 1
"32" 8 "front" 0 "2-4" 0 1 0 NA 50 1
"33" 9 "rear" 1 "2-4" 0 1 0 28 60 1
"34" 9 "front" 0 "2-4" 0 1 0 60 126 1
"35" 9 "rear" 1 "2-4" 0 1 0 154 179 1
"36" 9 "front" 0 "2-4" 0 1 0 28 60 1
"37" 10 "rear" 1 "2-4" 0 1 0 323 NA 0
"38" 10 "front" 0 "2-4" 0 1 0 323 NA 0
"39" 10 "rear" 1 "2-4" 0 1 0 323 NA 0
"40" 10 "front" 0 "2-4" 0 1 0 323 NA 0
"41" 11 "rear" 1 "2-4" 0 1 0 350 NA 0
"42" 11 "front" 0 "2-4" 0 1 0 80 139 1
"43" 11 "rear" 1 "2-4" 0 1 0 80 139 1
"44" 11 "front" 0 "2-4" 0 1 0 350 NA 0
"45" 12 "rear" 1 "2-4" 0 1 0 36 63 1
"46" 12 "front" 0 "2-4" 0 1 0 36 63 1
"47" 12 "rear" 1 "2-4" 0 1 0 36 63 1
"48" 12 "front" 0 "2-4" 0 1 0 36 63 1
"49" 13 "rear" 1 "1" 1 0 0 105 132 1
"50" 13 "front" 0 "1" 1 0 0 105 132 1
"51" 13 "rear" 1 "1" 1 0 0 42 105 1
"52" 13 "front" 0 "1" 1 0 0 42 105 1
"53" 14 "rear" 1 "2-4" 0 1 0 26 57 1
"54" 14 "front" 0 "2-4" 0 1 0 274 300 1
"55" 14 "rear" 1 "2-4" 0 1 0 328 NA 0
"56" 14 "front" 0 "2-4" 0 1 0 26 57 1
"57" 15 "rear" 1 "1" 1 0 0 250 283 1
"58" 15 "front" 0 "1" 1 0 0 131 162 1
"59" 15 "rear" 1 "1" 1 0 0 349 NA 0
"60" 15 "front" 0 "1" 1 0 0 283 325 1
"61" 16 "rear" 1 "1" 1 0 0 191 231 1
"62" 16 "front" 0 "1" 1 0 0 331 358 1
"63" 16 "rear" 1 "1" 1 0 0 21 51 1
"64" 16 "front" 0 "1" 1 0 0 331 358 1
"65" 17 "rear" 1 ">4" 0 0 1 22 56 1
"66" 17 "front" 0 ">4" 0 0 1 22 56 1
"67" 17 "rear" 1 ">4" 0 0 1 22 56 1
"68" 17 "front" 0 ">4" 0 0 1 22 56 1
"69" 18 "rear" 1 "1" 1 0 0 32 60 1
"70" 18 "front" 0 "1" 1 0 0 60 94 1
"71" 18 "rear" 1 "1" 1 0 0 60 94 1
"72" 18 "front" 0 "1" 1 0 0 312 339 1
"73" 19 "rear" 1 "1" 1 0 0 70 106 1
"74" 19 "front" 0 "1" 1 0 0 41 70 1
"75" 19 "rear" 1 "1" 1 0 0 41 70 1
"76" 19 "front" 0 "1" 1 0 0 41 70 1
"77" 20 "rear" 1 "1" 1 0 0 340 395 1
"78" 20 "front" 0 "1" 1 0 0 395 431 1
"79" 20 "rear" 1 "1" 1 0 0 340 395 1
"80" 20 "front" 0 "1" 1 0 0 340 395 1
"81" 21 "rear" 1 "1" 1 0 0 51 86 1
"82" 21 "front" 0 "1" 1 0 0 51 86 1
"83" 21 "rear" 1 "1" 1 0 0 86 NA 0
"84" 21 "front" 0 "1" 1 0 0 86 NA 0
"85" 22 "rear" 1 "2-4" 0 1 0 248 282 1
"86" 22 "front" 0 "2-4" 0 1 0 318 NA 0
"87" 22 "rear" 1 "2-4" 0 1 0 318 NA 0
"88" 22 "front" 0 "2-4" 0 1 0 318 NA 0
"89" 23 "rear" 1 "2-4" 0 1 0 89 131 1
"90" 23 "front" 0 "2-4" 0 1 0 89 131 1
"91" 23 "rear" 1 "2-4" 0 1 0 89 131 1
"92" 23 "front" 0 "2-4" 0 1 0 89 131 1
"93" 24 "rear" 1 "2-4" 0 1 0 125 149 1
"94" 24 "front" 0 "2-4" 0 1 0 149 177 1
"95" 24 "rear" 1 "2-4" 0 1 0 30 59 1
"96" 24 "front" 0 "2-4" 0 1 0 30 59 1
"97" 25 "rear" 1 "1" 1 0 0 NA 46 1
"98" 25 "front" 0 "1" 1 0 0 NA 46 1
"99" 25 "rear" 1 "1" 1 0 0 NA 46 1
"100" 25 "front" 0 "1" 1 0 0 143 172 1
"101" 26 "rear" 1 ">4" 0 0 1 45 98 1
"102" 26 "front" 0 ">4" 0 0 1 45 98 1
"103" 26 "rear" 1 ">4" 0 0 1 45 98 1
"104" 26 "front" 0 ">4" 0 0 1 45 98 1
"105" 27 "rear" 1 "2-4" 0 1 0 20 51 1
"106" 27 "front" 0 "2-4" 0 1 0 199 234 1
"107" 27 "rear" 1 "2-4" 0 1 0 20 51 1
"108" 27 "front" 0 "2-4" 0 1 0 20 51 1
"109" 28 "rear" 1 "2-4" 0 1 0 194 220 1
"110" 28 "front" 0 "2-4" 0 1 0 40 66 1
"111" 28 "rear" 1 "2-4" 0 1 0 220 252 1
"112" 28 "front" 0 "2-4" 0 1 0 285 327 1
"113" 29 "rear" 1 "2-4" 0 1 0 NA 26 1
"114" 29 "front" 0 "2-4" 0 1 0 26 59 1
"115" 29 "rear" 1 "2-4" 0 1 0 NA 26 1
"116" 29 "front" 0 "2-4" 0 1 0 NA 26 1
"117" 30 "rear" 1 "1" 1 0 0 175 202 1
"118" 30 "front" 0 "1" 1 0 0 175 202 1
"119" 30 "rear" 1 "1" 1 0 0 77 113 1
"120" 30 "front" 0 "1" 1 0 0 77 113 1
"121" 31 "rear" 1 "2-4" 0 1 0 74 110 1
"122" 31 "front" 0 "2-4" 0 1 0 264 NA 0
"123" 31 "rear" 1 "2-4" 0 1 0 NA 39 1
"124" 31 "front" 0 "2-4" 0 1 0 264 NA 0
"125" 32 "rear" 1 "1" 1 0 0 35 62 1
"126" 32 "front" 0 "1" 1 0 0 35 62 1
"127" 32 "rear" 1 "1" 1 0 0 35 62 1
"128" 32 "front" 0 "1" 1 0 0 35 62 1
"129" 33 "rear" 1 "1" 1 0 0 231 263 1
"130" 33 "front" 0 "1" 1 0 0 176 231 1
"131" 33 "rear" 1 "1" 1 0 0 21 52 1
"132" 33 "front" 0 "1" 1 0 0 141 176 1
"133" 34 "rear" 1 "2-4" 0 1 0 138 164 1
"134" 34 "front" 0 "2-4" 0 1 0 68 107 1
"135" 34 "rear" 1 "2-4" 0 1 0 107 138 1
"136" 34 "front" 0 "2-4" 0 1 0 138 164 1
"137" 35 "rear" 1 "2-4" 0 1 0 199 228 1
"138" 35 "front" 0 "2-4" 0 1 0 325 NA 0
"139" 35 "rear" 1 "2-4" 0 1 0 262 325 1
"140" 35 "front" 0 "2-4" 0 1 0 325 NA 0
"141" 36 "rear" 1 "2-4" 0 1 0 78 112 1
"142" 36 "front" 0 "2-4" 0 1 0 112 136 1
"143" 36 "rear" 1 "2-4" 0 1 0 203 259 1
"144" 36 "front" 0 "2-4" 0 1 0 259 287 1
"145" 37 "rear" 1 "1" 1 0 0 57 NA 0
"146" 37 "front" 0 "1" 1 0 0 57 NA 0
"147" 37 "rear" 1 "1" 1 0 0 57 NA 0
"148" 37 "front" 0 "1" 1 0 0 57 NA 0
"149" 38 "rear" 1 ">4" 0 0 1 NA 50 1
"150" 38 "front" 0 ">4" 0 0 1 NA 50 1
"151" 38 "rear" 1 ">4" 0 0 1 NA 50 1
"152" 38 "front" 0 ">4" 0 0 1 NA 50 1
"153" 39 "rear" 1 ">4" 0 0 1 46 73 1
"154" 39 "front" 0 ">4" 0 0 1 46 73 1
"155" 39 "rear" 1 ">4" 0 0 1 46 73 1
"156" 39 "front" 0 ">4" 0 0 1 46 73 1
"157" 40 "rear" 1 "2-4" 0 1 0 100 NA 0
"158" 40 "front" 0 "2-4" 0 1 0 100 NA 0
"159" 40 "rear" 1 "2-4" 0 1 0 100 NA 0
"160" 40 "front" 0 "2-4" 0 1 0 100 NA 0
"161" 41 "rear" 1 "2-4" 0 1 0 61 92 1
"162" 41 "front" 0 "2-4" 0 1 0 61 92 1
"163" 41 "rear" 1 "2-4" 0 1 0 31 61 1
"164" 41 "front" 0 "2-4" 0 1 0 61 92 1
"165" 42 "rear" 1 "1" 1 0 0 NA 41 1
"166" 42 "front" 0 "1" 1 0 0 41 72 1
"167" 42 "rear" 1 "1" 1 0 0 NA 41 1
"168" 42 "front" 0 "1" 1 0 0 266 315 1
"169" 43 "rear" 1 "2-4" 0 1 0 34 71 1
"170" 43 "front" 0 "2-4" 0 1 0 34 71 1
"171" 43 "rear" 1 "2-4" 0 1 0 99 130 1
"172" 43 "front" 0 "2-4" 0 1 0 34 71 1
"173" 44 "rear" 1 "1" 1 0 0 277 NA 0
"174" 44 "front" 0 "1" 1 0 0 277 NA 0
"175" 44 "rear" 1 "1" 1 0 0 277 NA 0
"176" 44 "front" 0 "1" 1 0 0 118 147 1
"177" 45 "rear" 1 "2-4" 0 1 0 50 81 1
"178" 45 "front" 0 "2-4" 0 1 0 50 81 1
"179" 45 "rear" 1 "2-4" 0 1 0 50 81 1
"180" 45 "front" 0 "2-4" 0 1 0 50 81 1
"181" 46 "rear" 1 "2-4" 0 1 0 43 74 1
"182" 46 "front" 0 "2-4" 0 1 0 74 103 1
"183" 46 "rear" 1 "2-4" 0 1 0 43 74 1
"184" 46 "front" 0 "2-4" 0 1 0 43 74 1
"185" 47 "rear" 1 "1" 1 0 0 52 83 1
"186" 47 "front" 0 "1" 1 0 0 22 52 1
"187" 47 "rear" 1 "1" 1 0 0 22 52 1
"188" 47 "front" 0 "1" 1 0 0 22 52 1
"189" 48 "rear" 1 "2-4" 0 1 0 234 276 1
"190" 48 "front" 0 "2-4" 0 1 0 276 304 1
"191" 48 "rear" 1 "2-4" 0 1 0 179 207 1
"192" 48 "front" 0 "2-4" 0 1 0 234 276 1
"193" 49 "rear" 1 "1" 1 0 0 21 50 1
"194" 49 "front" 0 "1" 1 0 0 21 50 1
"195" 49 "rear" 1 "1" 1 0 0 21 50 1
"196" 49 "front" 0 "1" 1 0 0 21 50 1
"197" 50 "rear" 1 ">4" 0 0 1 81 112 1
"198" 50 "front" 0 ">4" 0 0 1 81 112 1
"199" 50 "rear" 1 ">4" 0 0 1 81 112 1
"200" 50 "front" 0 ">4" 0 0 1 81 112 1
"201" 51 "rear" 1 "2-4" 0 1 0 130 165 1
"202" 51 "front" 0 "2-4" 0 1 0 165 222 1
"203" 51 "rear" 1 "2-4" 0 1 0 101 130 1
"204" 51 "front" 0 "2-4" 0 1 0 74 101 1
"205" 52 "rear" 1 "1" 1 0 0 193 252 1
"206" 52 "front" 0 "1" 1 0 0 193 252 1
"207" 52 "rear" 1 "1" 1 0 0 NA 50 1
"208" 52 "front" 0 "1" 1 0 0 193 252 1
"209" 53 "rear" 1 "1" 1 0 0 287 NA 0
"210" 53 "front" 0 "1" 1 0 0 287 NA 0
"211" 53 "rear" 1 "1" 1 0 0 20 50 1
"212" 53 "front" 0 "1" 1 0 0 287 NA 0
"213" 54 "rear" 1 "1" 1 0 0 33 76 1
"214" 54 "front" 0 "1" 1 0 0 33 76 1
"215" 54 "rear" 1 "1" 1 0 0 76 NA 0
"216" 54 "front" 0 "1" 1 0 0 76 NA 0
"217" 55 "rear" 1 "2-4" 0 1 0 111 139 1
"218" 55 "front" 0 "2-4" 0 1 0 111 139 1
"219" 55 "rear" 1 "2-4" 0 1 0 21 87 1
"220" 55 "front" 0 "2-4" 0 1 0 139 178 1
"221" 56 "rear" 1 ">4" 0 0 1 31 62 1
"222" 56 "front" 0 ">4" 0 0 1 31 62 1
"223" 56 "rear" 1 ">4" 0 0 1 31 62 1
"224" 56 "front" 0 ">4" 0 0 1 31 62 1
"225" 57 "rear" 1 "1" 1 0 0 329 NA 0
"226" 57 "front" 0 "1" 1 0 0 329 NA 0
"227" 57 "rear" 1 "1" 1 0 0 329 NA 0
"228" 57 "front" 0 "1" 1 0 0 329 NA 0
"229" 58 "rear" 1 ">4" 0 0 1 133 169 1
"230" 58 "front" 0 ">4" 0 0 1 169 201 1
"231" 58 "rear" 1 ">4" 0 0 1 133 169 1
"232" 58 "front" 0 ">4" 0 0 1 169 201 1
"233" 59 "rear" 1 "1" 1 0 0 71 95 1
"234" 59 "front" 0 "1" 1 0 0 42 71 1
"235" 59 "rear" 1 "1" 1 0 0 95 154 1
"236" 59 "front" 0 "1" 1 0 0 238 280 1
"237" 60 "rear" 1 ">4" 0 0 1 NA 36 1
"238" 60 "front" 0 ">4" 0 0 1 36 65 1
"239" 60 "rear" 1 ">4" 0 0 1 36 65 1
"240" 60 "front" 0 ">4" 0 0 1 NA 36 1
"241" 61 "rear" 1 ">4" 0 0 1 45 74 1
"242" 61 "front" 0 ">4" 0 0 1 45 74 1
"243" 61 "rear" 1 ">4" 0 0 1 45 74 1
"244" 61 "front" 0 ">4" 0 0 1 45 74 1
"245" 62 "rear" 1 "1" 1 0 0 35 64 1
"246" 62 "front" 0 "1" 1 0 0 35 64 1
"247" 62 "rear" 1 "1" 1 0 0 35 64 1
"248" 62 "front" 0 "1" 1 0 0 35 64 1
"249" 63 "rear" 1 ">4" 0 0 1 NA 47 1
"250" 63 "front" 0 ">4" 0 0 1 NA 47 1
"251" 63 "rear" 1 ">4" 0 0 1 NA 47 1
"252" 63 "front" 0 ">4" 0 0 1 NA 47 1
"253" 64 "rear" 1 "1" 1 0 0 222 255 1
"254" 64 "front" 0 "1" 1 0 0 255 NA 0
"255" 64 "rear" 1 "1" 1 0 0 255 NA 0
"256" 64 "front" 0 "1" 1 0 0 52 78 1
"257" 65 "rear" 1 "1" 1 0 0 187 217 1
"258" 65 "front" 0 "1" 1 0 0 148 187 1
"259" 65 "rear" 1 "1" 1 0 0 297 NA 0
"260" 65 "front" 0 "1" 1 0 0 187 217 1
"261" 66 "rear" 1 "2-4" 0 1 0 272 NA 0
