"left" "right" "adult" "fadult"
"1" 4 24 1 "Adult"
"2" 48 NA 1 "Adult"
"3" NA 24 1 "Adult"
"4" 36 48 1 "Adult"
"5" 12 48 1 "Adult"
"6" 48 NA 1 "Adult"
"7" 12 24 1 "Adult"
"8" 12 48 1 "Adult"
"9" 4 36 1 "Adult"
"10" 24 36 1 "Adult"
"11" 8 12 1 "Adult"
"12" 24 36 1 "Adult"
"13" 8 12 1 "Adult"
"14" 36 48 1 "Adult"
"15" 4 8 1 "Adult"
"16" 12 24 1 "Adult"
"17" 4 48 1 "Adult"
"18" 48 NA 1 "Adult"
"19" 12 24 1 "Adult"
"20" 4 8 1 "Adult"
"21" 36 48 1 "Adult"
"22" 24 36 1 "Adult"
"23" NA 24 1 "Adult"
"24" 4 8 1 "Adult"
"25" 8 36 1 "Adult"
"26" 4 24 1 "Adult"
"27" 24 36 1 "Adult"
"28" 48 NA 1 "Adult"
"29" NA 36 1 "Adult"
"30" 8 12 1 "Adult"
"31" 12 24 1 "Adult"
"32" 48 NA 1 "Adult"
"33" 36 48 1 "Adult"
"34" NA 36 1 "Adult"
"35" 8 12 1 "Adult"
"36" NA 36 1 "Adult"
"37" 48 NA 1 "Adult"
"38" 12 48 1 "Adult"
"39" 4 8 1 "Adult"
"40" 4 8 1 "Adult"
"41" 48 NA 1 "Adult"
"42" 12 48 1 "Adult"
"43" 4 24 1 "Adult"
"44" NA 4 1 "Adult"
"45" 12 24 1 "Adult"
"46" 48 NA 1 "Adult"
"47" 8 48 0 "Child"
"48" NA 12 0 "Child"
"49" 12 48 0 "Child"
"50" 8 36 0 "Child"
"51" 48 NA 0 "Child"
"52" 36 48 0 "Child"
"53" 8 12 0 "Child"
"54" 48 NA 0 "Child"
"55" 36 48 0 "Child"
"56" 48 NA 0 "Child"
"57" 48 NA 0 "Child"
"58" 36 48 0 "Child"
"59" 48 NA 0 "Child"
"60" 24 36 0 "Child"
"61" 36 48 0 "Child"
"62" 12 24 0 "Child"
"63" 48 NA 0 "Child"
"64" 8 36 0 "Child"
"65" 24 36 0 "Child"
"66" 48 NA 0 "Child"
"67" 48 NA 0 "Child"
"68" 48 NA 0 "Child"
"69" 24 36 0 "Child"
"70" 48 NA 0 "Child"
"71" 24 36 0 "Child"
"72" 48 NA 0 "Child"
"73" 48 NA 0 "Child"
"74" 48 NA 0 "Child"
"75" 48 NA 0 "Child"
"76" 24 36 0 "Child"
"77" 48 NA 0 "Child"
"78" 24 36 0 "Child"
"79" 48 NA 0 "Child"
"80" 48 NA 0 "Child"
"81" 48 NA 0 "Child"
"82" 48 NA 0 "Child"
"83" 48 NA 0 "Child"
"84" 48 NA 0 "Child"
"85" 48 NA 0 "Child"
"86" 48 NA 0 "Child"
"87" 36 48 0 "Child"
"88" NA 12 0 "Child"
"89" 36 48 0 "Child"
"90" 36 48 0 "Child"
"91" 48 NA 0 "Child"
"92" 48 NA 0 "Child"
"93" 48 NA 0 "Child"
